"","Batter_Name","field_zone","n_boundaries"
"1","Ayush Badoni","Straight (off-side) / long-off",29
"2","Ayush Badoni","Extra cover",2
"3","Ayush Badoni","Backward square leg",1
"4","Ayush Badoni","Square leg",2
"5","Ayush Badoni","Midwicket",1
"6","Ayush Badoni","Long-on",1
"7","Ayush Badoni","Straight (leg-side)",75
"8","A Kamboj","Straight (leg-side)",2
"9","Abhinav Manohar","Straight (off-side) / long-off",10
"10","Abhinav Manohar","Extra cover",2
"11","Abhinav Manohar","Straight (leg-side)",25
"12","A Mhatre","Straight (off-side) / long-off",13
"13","A Mhatre","Straight (leg-side)",29
"14","Amit Mishra","Straight (off-side) / long-off",1
"15","Amit Mishra","Straight (leg-side)",1
"16","Anrich Nortje","Straight (off-side) / long-off",3
"17","Anrich Nortje","Straight (leg-side)",3
"18","Angkrish Raghuvanshi","Straight (off-side) / long-off",21
"19","Angkrish Raghuvanshi","Extra cover",1
"20","Angkrish Raghuvanshi","Third man",1
"21","Angkrish Raghuvanshi","Fine leg",1
"22","Angkrish Raghuvanshi","Straight (leg-side)",38
"23","Abhijeet Tomar","Straight (leg-side)",1
"24","AA Kulkarni","Straight (off-side) / long-off",2
"25","Andre Russell","Straight (off-side) / long-off",42
"26","Andre Russell","Fine leg",1
"27","Andre Russell","Backward square leg",1
"28","Andre Russell","Square leg",1
"29","Andre Russell","Straight (leg-side)",102
"30","Aaron Finch","Straight (off-side) / long-off",3
"31","Aaron Finch","Backward square leg",2
"32","Aaron Finch","Straight (leg-side)",8
"33","Akeal Hosein","Straight (leg-side)",2
"34","Ashton Turner","Straight (off-side) / long-off",1
"35","Ashton Turner","Straight (leg-side)",1
"36","Aiden Markram","Straight (off-side) / long-off",51
"37","Aiden Markram","Extra cover",1
"38","Aiden Markram","Third man",1
"39","Aiden Markram","Fine leg",2
"40","Aiden Markram","Backward square leg",1
"41","Aiden Markram","Long-on",2
"42","Aiden Markram","Straight (leg-side)",94
"43","Ajinkya Rahane","Straight (off-side) / long-off",52
"44","Ajinkya Rahane","Extra cover",1
"45","Ajinkya Rahane","Fine leg",1
"46","Ajinkya Rahane","Backward square leg",1
"47","Ajinkya Rahane","Long-on",1
"48","Ajinkya Rahane","Straight (leg-side)",89
"49","Axar Patel","Straight (off-side) / long-off",35
"50","Axar Patel","Third man",4
"51","Axar Patel","Fine leg",2
"52","Axar Patel","Square leg",1
"53","Axar Patel","Midwicket",2
"54","Axar Patel","Long-on",1
"55","Axar Patel","Straight (leg-side)",80
"56","Alzarri Joseph","Straight (leg-side)",1
"57","Anukul Roy","Straight (leg-side)",3
"58","Ambati Rayudu","Straight (off-side) / long-off",15
"59","Ambati Rayudu","Long-on",1
"60","Ambati Rayudu","Straight (leg-side)",43
"61","Adil Rashid","Straight (leg-side)",3
"62","Abdul Samad","Straight (off-side) / long-off",27
"63","Abdul Samad","Third man",1
"64","Abdul Samad","Long-on",1
"65","Abdul Samad","Straight (leg-side)",40
"66","Abhishek Sharma","Straight (off-side) / long-off",75
"67","Abhishek Sharma","Extra cover",5
"68","Abhishek Sharma","Third man",2
"69","Abhishek Sharma","Fine leg",3
"70","Abhishek Sharma","Backward square leg",2
"71","Abhishek Sharma","Square leg",2
"72","Abhishek Sharma","Midwicket",1
"73","Abhishek Sharma","Long-on",2
"74","Abhishek Sharma","Straight (leg-side)",154
"75","Abhishek Porel","Straight (off-side) / long-off",32
"76","Abhishek Porel","Fine leg",3
"77","Abhishek Porel","Midwicket",1
"78","Abhishek Porel","Straight (leg-side)",56
"79","Akash Deep","Straight (off-side) / long-off",2
"80","Akash Deep","Straight (leg-side)",2
"81","Aman Hakim Khan","Straight (off-side) / long-off",6
"82","Aman Hakim Khan","Straight (leg-side)",8
"83","Aniket Verma","Straight (off-side) / long-off",11
"84","Aniket Verma","Extra cover",1
"85","Aniket Verma","Straight (leg-side)",20
"86","Anmolpreet Singh","Straight (off-side) / long-off",6
"87","Anmolpreet Singh","Third man",1
"88","Anmolpreet Singh","Midwicket",1
"89","Anmolpreet Singh","Straight (leg-side)",11
"90","Anuj Rawat","Straight (off-side) / long-off",14
"91","Anuj Rawat","Long-on",1
"92","Anuj Rawat","Straight (leg-side)",25
"93","Arjun Tendulkar","Straight (off-side) / long-off",1
"94","Arshad Khan","Straight (off-side) / long-off",4
"95","Arshad Khan","Straight (leg-side)",10
"96","Arshad Khan (2)","Straight (off-side) / long-off",1
"97","Arshdeep Singh","Straight (off-side) / long-off",1
"98","Arshdeep Singh","Straight (leg-side)",3
"99","Ashutosh Sharma","Straight (off-side) / long-off",16
"100","Ashutosh Sharma","Fine leg",1
"101","Ashutosh Sharma","Backward square leg",1
"102","Ashutosh Sharma","Midwicket",1
"103","Ashutosh Sharma","Long-on",1
"104","Ashutosh Sharma","Straight (leg-side)",32
"105","Atharva Taide","Straight (off-side) / long-off",13
"106","Atharva Taide","Midwicket",1
"107","Atharva Taide","Straight (leg-side)",24
"108","Avesh Khan","Straight (off-side) / long-off",1
"109","Avesh Khan","Third man",1
"110","Avesh Khan","Straight (leg-side)",6
"111","Azmatullah Omarzai","Straight (off-side) / long-off",7
"112","Azmatullah Omarzai","Straight (leg-side)",6
"113","Baba Indrajith","Straight (off-side) / long-off",1
"114","Baba Indrajith","Straight (leg-side)",1
"115","Bhuvneshwar Kumar","Straight (off-side) / long-off",4
"116","Bhuvneshwar Kumar","Long-on",1
"117","Bhuvneshwar Kumar","Straight (leg-side)",6
"118","Sai Sudharsan","Straight (off-side) / long-off",81
"119","Sai Sudharsan","Extra cover",1
"120","Sai Sudharsan","Third man",3
"121","Sai Sudharsan","Fine leg",2
"122","Sai Sudharsan","Long-on",2
"123","Sai Sudharsan","Straight (leg-side)",147
"124","Ben Stokes","Straight (off-side) / long-off",2
"125","Kusal Mendis","Straight (leg-side)",3
"126","Corbin Bosch","Straight (off-side) / long-off",2
"127","Corbin Bosch","Extra cover",1
"128","Corbin Bosch","Straight (leg-side)",3
"129","Cameron Green","Straight (off-side) / long-off",35
"130","Cameron Green","Third man",2
"131","Cameron Green","Backward square leg",1
"132","Cameron Green","Midwicket",2
"133","Cameron Green","Straight (leg-side)",54
"134","Chetan Sakariya","Straight (off-side) / long-off",1
"135","Varun Chakravarthy","Straight (leg-side)",2
"136","Dewald Brevis","Straight (off-side) / long-off",23
"137","Dewald Brevis","Extra cover",2
"138","Dewald Brevis","Fine leg",1
"139","Dewald Brevis","Straight (leg-side)",37
"140","Devdutt Padikkal","Straight (off-side) / long-off",50
"141","Devdutt Padikkal","Extra cover",1
"142","Devdutt Padikkal","Third man",1
"143","Devdutt Padikkal","Long-on",3
"144","Devdutt Padikkal","Straight (leg-side)",76
"145","Dwaine Pretorius","Straight (off-side) / long-off",2
"146","Dwaine Pretorius","Straight (leg-side)",4
"147","David Wiese","Straight (leg-side)",3
"148","David Miller","Straight (off-side) / long-off",47
"149","David Miller","Extra cover",2
"150","David Miller","Fine leg",2
"151","David Miller","Backward square leg",1
"152","David Miller","Midwicket",1
"153","David Miller","Straight (leg-side)",78
"154","David Warner","Straight (off-side) / long-off",58
"155","David Warner","Third man",1
"156","David Warner","Straight (leg-side)",114
"157","Darshan Nalkande","Straight (leg-side)",1
"158","Dwayne Bravo","Straight (off-side) / long-off",1
"159","Dwayne Bravo","Straight (leg-side)",1
"160","Deepak Hooda","Straight (off-side) / long-off",23
"161","Deepak Hooda","Third man",2
"162","Deepak Hooda","Fine leg",1
"163","Deepak Hooda","Backward square leg",1
"164","Deepak Hooda","Long-on",1
"165","Deepak Hooda","Straight (leg-side)",53
"166","Daryl Mitchell","Straight (off-side) / long-off",9
"167","Daryl Mitchell","Extra cover",1
"168","Daryl Mitchell","Straight (leg-side)",28
"169","David Willey","Straight (off-side) / long-off",4
"170","David Willey","Straight (leg-side)",3
"171","Deepak Chahar","Straight (off-side) / long-off",1
"172","Deepak Chahar","Square leg",1
"173","Deepak Chahar","Straight (leg-side)",3
"174","Devon Conway","Straight (off-side) / long-off",52
"175","Devon Conway","Extra cover",1
"176","Devon Conway","Fine leg",1
"177","Devon Conway","Backward square leg",1
"178","Devon Conway","Midwicket",2
"179","Devon Conway","Straight (leg-side)",94
"180","Daniel Sams","Straight (off-side) / long-off",1
"181","Daniel Sams","Straight (leg-side)",3
"182","Dhruv Jurel","Straight (off-side) / long-off",34
"183","Dhruv Jurel","Third man",2
"184","Dhruv Jurel","Backward square leg",1
"185","Dhruv Jurel","Long-on",2
"186","Dhruv Jurel","Straight (leg-side)",50
"187","Evin Lewis","Straight (off-side) / long-off",2
"188","Evin Lewis","Straight (leg-side)",9
"189","Faf du Plessis","Straight (off-side) / long-off",75
"190","Faf du Plessis","Extra cover",1
"191","Faf du Plessis","Cover",1
"192","Faf du Plessis","Third man",2
"193","Faf du Plessis","Fine leg",3
"194","Faf du Plessis","Square leg",1
"195","Faf du Plessis","Midwicket",1
"196","Faf du Plessis","Long-on",1
"197","Faf du Plessis","Straight (leg-side)",167
"198","Fabian Allen","Straight (leg-side)",1
"199","Gerald Coetzee","Straight (leg-side)",4
"200","Glenn Phillips","Straight (leg-side)",6
"201","Glenn Maxwell","Straight (off-side) / long-off",47
"202","Glenn Maxwell","Cover",1
"203","Glenn Maxwell","Third man",2
"204","Glenn Maxwell","Fine leg",1
"205","Glenn Maxwell","Long-on",2
"206","Glenn Maxwell","Straight (leg-side)",67
"207","Gulbadin Naib","Long-on",1
"208","Gulbadin Naib","Straight (leg-side)",1
"209","Heinrich Klaasen","Straight (off-side) / long-off",53
"210","Heinrich Klaasen","Extra cover",2
"211","Heinrich Klaasen","Third man",3
"212","Heinrich Klaasen","Backward square leg",1
"213","Heinrich Klaasen","Midwicket",1
"214","Heinrich Klaasen","Straight (leg-side)",121
"215","Harry Brook","Straight (off-side) / long-off",6
"216","Harry Brook","Fine leg",1
"217","Harry Brook","Straight (leg-side)",20
"218","Rassie van der Dussen","Straight (off-side) / long-off",2
"219","Hardik Pandya","Straight (off-side) / long-off",57
"220","Hardik Pandya","Cover",2
"221","Hardik Pandya","Third man",1
"222","Hardik Pandya","Backward square leg",1
"223","Hardik Pandya","Long-on",1
"224","Hardik Pandya","Straight (leg-side)",99
"225","Hrithik Shokeen","Straight (off-side) / long-off",4
"226","Hrithik Shokeen","Straight (leg-side)",5
"227","Harshal Patel","Straight (off-side) / long-off",1
"228","Harshal Patel","Straight (leg-side)",8
"229","Harpreet Brar","Straight (off-side) / long-off",7
"230","Harpreet Brar","Extra cover",1
"231","Harpreet Brar","Long-on",1
"232","Harpreet Brar","Straight (leg-side)",12
"233","Harpreet Singh","Straight (off-side) / long-off",4
"234","Harpreet Singh","Straight (leg-side)",9
"235","Harshit Rana","Straight (off-side) / long-off",2
"236","Harshit Rana","Straight (leg-side)",6
"237","Ishan Kishan","Straight (off-side) / long-off",83
"238","Ishan Kishan","Third man",1
"239","Ishan Kishan","Fine leg",1
"240","Ishan Kishan","Square leg",2
"241","Ishan Kishan","Long-on",1
"242","Ishan Kishan","Straight (leg-side)",139
"243","Jake Fraser-McGurk","Straight (off-side) / long-off",21
"244","Jake Fraser-McGurk","Straight (leg-side)",48
"245","Jamie Overton","Straight (off-side) / long-off",1
"246","Jamie Overton","Straight (leg-side)",1
"247","Jofra Archer","Straight (off-side) / long-off",1
"248","Jofra Archer","Extra cover",2
"249","Jofra Archer","Straight (leg-side)",4
"250","Jos Buttler","Straight (off-side) / long-off",102
"251","Jos Buttler","Extra cover",2
"252","Jos Buttler","Third man",5
"253","Jos Buttler","Fine leg",5
"254","Jos Buttler","Backward square leg",1
"255","Jos Buttler","Long-on",1
"256","Jos Buttler","Straight (leg-side)",193
"257","Jaydev Unadkat","Straight (off-side) / long-off",3
"258","Jaydev Unadkat","Straight (leg-side)",8
"259","James Neesham","Straight (off-side) / long-off",1
"260","James Neesham","Straight (leg-side)",2
"261","Joe Root","Straight (leg-side)",1
"262","Jacob Bethell","Straight (off-side) / long-off",7
"263","Jacob Bethell","Straight (leg-side)",5
"264","Jasprit Bumrah","Straight (off-side) / long-off",1
"265","Jason Roy","Straight (off-side) / long-off",22
"266","Jason Roy","Backward square leg",1
"267","Jason Roy","Straight (leg-side)",25
"268","Jonny Bairstow","Straight (off-side) / long-off",32
"269","Jonny Bairstow","Extra cover",1
"270","Jonny Bairstow","Fine leg",1
"271","Jonny Bairstow","Midwicket",2
"272","Jonny Bairstow","Straight (leg-side)",66
"273","Jitesh Sharma","Straight (off-side) / long-off",47
"274","Jitesh Sharma","Third man",3
"275","Jitesh Sharma","Fine leg",1
"276","Jitesh Sharma","Straight (leg-side)",88
"277","Jason Holder","Straight (off-side) / long-off",2
"278","Jason Holder","Straight (leg-side)",7
"279","Josh Inglis","Straight (off-side) / long-off",14
"280","Josh Inglis","Straight (leg-side)",28
"281","Josh Hazlewood","Straight (leg-side)",1
"282","Krishnappa Gowtham","Straight (off-side) / long-off",2
"283","Krishnappa Gowtham","Midwicket",1
"284","Krishnappa Gowtham","Straight (leg-side)",4
"285","Kumar Kartikeya","Straight (leg-side)",1
"286","Kagiso Rabada","Straight (off-side) / long-off",1
"287","Kagiso Rabada","Extra cover",1
"288","Kagiso Rabada","Long-on",1
"289","Kagiso Rabada","Straight (leg-side)",7
"290","Kieron Pollard","Straight (off-side) / long-off",4
"291","Kieron Pollard","Straight (leg-side)",11
"292","Dinesh Karthik","Straight (off-side) / long-off",39
"293","Dinesh Karthik","Extra cover",1
"294","Dinesh Karthik","Third man",1
"295","Dinesh Karthik","Fine leg",2
"296","Dinesh Karthik","Backward square leg",1
"297","Dinesh Karthik","Square leg",1
"298","Dinesh Karthik","Long-on",1
"299","Dinesh Karthik","Straight (leg-side)",70
"300","Krunal Pandya","Straight (off-side) / long-off",16
"301","Krunal Pandya","Third man",1
"302","Krunal Pandya","Fine leg",1
"303","Krunal Pandya","Long-on",1
"304","Krunal Pandya","Straight (leg-side)",48
"305","Karun Nair","Straight (off-side) / long-off",11
"306","Karun Nair","Straight (leg-side)",24
"307","KL Rahul","Straight (off-side) / long-off",88
"308","KL Rahul","Extra cover",3
"309","KL Rahul","Third man",3
"310","KL Rahul","Long-on",1
"311","KL Rahul","Straight (leg-side)",150
"312","Kedar Jadhav","Long-on",1
"313","Kyle Mayers","Straight (off-side) / long-off",24
"314","Kyle Mayers","Extra cover",2
"315","Kyle Mayers","Long-on",1
"316","Kyle Mayers","Straight (leg-side)",33
"317","K Srikar Bharat","Straight (off-side) / long-off",1
"318","K Srikar Bharat","Backward square leg",1
"319","Karan Sharma","Straight (leg-side)",1
"320","Kane Williamson","Straight (off-side) / long-off",6
"321","Kane Williamson","Fine leg",1
"322","Kane Williamson","Long-on",1
"323","Kane Williamson","Straight (leg-side)",20
"324","Kwena Maphaka","Straight (off-side) / long-off",1
"325","Kwena Maphaka","Straight (leg-side)",1
"326","Karn Sharma","Straight (off-side) / long-off",3
"327","Karn Sharma","Straight (leg-side)",2
"328","Kartik Tyagi","Straight (off-side) / long-off",1
"329","Kuldeep Yadav","Straight (off-side) / long-off",4
"330","Kuldeep Yadav","Straight (leg-side)",12
"331","Luke Wood","Straight (leg-side)",1
"332","Lockie Ferguson","Straight (off-side) / long-off",1
"333","Lockie Ferguson","Straight (leg-side)",1
"334","Liam Livingstone","Straight (off-side) / long-off",38
"335","Liam Livingstone","Extra cover",1
"336","Liam Livingstone","Fine leg",1
"337","Liam Livingstone","Square leg",1
"338","Liam Livingstone","Long-on",1
"339","Liam Livingstone","Straight (leg-side)",88
"340","Lalit Yadav","Straight (off-side) / long-off",7
"341","Lalit Yadav","Third man",1
"342","Lalit Yadav","Straight (leg-side)",19
"343","Liton Das","Straight (leg-side)",1
"344","Murugan Ashwin","Straight (leg-side)",2
"345","Marco Jansen","Straight (off-side) / long-off",6
"346","Marco Jansen","Fine leg",1
"347","Marco Jansen","Straight (leg-side)",7
"348","Mayank Markande","Straight (off-side) / long-off",2
"349","Mayank Markande","Straight (leg-side)",1
"350","Shahrukh Khan","Straight (off-side) / long-off",24
"351","Shahrukh Khan","Extra cover",1
"352","Shahrukh Khan","Third man",2
"353","Shahrukh Khan","Long-on",1
"354","Shahrukh Khan","Straight (leg-side)",49
"355","Maheesh Theekshana","Long-on",1
"356","Manan Vohra","Straight (leg-side)",4
"357","Mayank Agarwal","Straight (off-side) / long-off",31
"358","Mayank Agarwal","Fine leg",1
"359","Mayank Agarwal","Long-on",1
"360","Mayank Agarwal","Straight (leg-side)",52
"361","Mitchell Starc","Straight (leg-side)",1
"362","Mark Wood","Straight (off-side) / long-off",1
"363","Mark Wood","Straight (leg-side)",1
"364","Dasun Shanaka","Straight (off-side) / long-off",2
"365","Dasun Shanaka","Straight (leg-side)",1
"366","Michael Bracewell","Straight (off-side) / long-off",1
"367","Michael Bracewell","Straight (leg-side)",6
"368","Mitchell Santner","Straight (off-side) / long-off",4
"369","Mitchell Santner","Long-on",1
"370","Mitchell Santner","Straight (leg-side)",4
"371","Mahipal Lomror","Straight (off-side) / long-off",18
"372","Mahipal Lomror","Extra cover",1
"373","Mahipal Lomror","Straight (leg-side)",27
"374","Manish Pandey","Straight (off-side) / long-off",14
"375","Manish Pandey","Backward square leg",1
"376","Manish Pandey","Straight (leg-side)",28
"377","Moeen Ali","Straight (off-side) / long-off",20
"378","Moeen Ali","Third man",1
"379","Moeen Ali","Fine leg",2
"380","Moeen Ali","Square leg",1
"381","Moeen Ali","Long-on",1
"382","Moeen Ali","Straight (leg-side)",43
"383","Matthew Breetzke","Straight (leg-side)",2
"384","Marcus Stoinis","Straight (off-side) / long-off",54
"385","Marcus Stoinis","Extra cover",3
"386","Marcus Stoinis","Third man",1
"387","Marcus Stoinis","Fine leg",1
"388","Marcus Stoinis","Square leg",1
"389","Marcus Stoinis","Long-on",1
"390","Marcus Stoinis","Straight (leg-side)",92
"391","Mitchell Marsh","Straight (off-side) / long-off",50
"392","Mitchell Marsh","Third man",2
"393","Mitchell Marsh","Fine leg",1
"394","Mitchell Marsh","Midwicket",1
"395","Mitchell Marsh","Long-on",3
"396","Mitchell Marsh","Straight (leg-side)",99
"397","Mahendra Singh Dhoni","Straight (off-side) / long-off",33
"398","Mahendra Singh Dhoni","Extra cover",2
"399","Mahendra Singh Dhoni","Third man",1
"400","Mahendra Singh Dhoni","Fine leg",1
"401","Mahendra Singh Dhoni","Straight (leg-side)",58
"402","Matthew Wade","Straight (off-side) / long-off",12
"403","Matthew Wade","Straight (leg-side)",13
"404","Matt Short","Straight (leg-side)",19
"405","Mandeep Singh","Straight (off-side) / long-off",2
"406","Mandeep Singh","Cover",1
"407","Mandeep Singh","Straight (leg-side)",2
"408","Mohammad Nabi","Straight (off-side) / long-off",2
"409","Mohammad Nabi","Straight (leg-side)",2
