Unnamed: 0,venue,city,MatchesPlayed,Average_Score,Average_First_Innings_Score,Boundary_Percentage_per_match,Boundary_Percentage_First_Innings,Boundary_Percentage_Second_Innings,Avg_Wickets_lost_per_match,Avg.Wickets.Lost.in.First.Innings,Avg.Wickets.Lost.in.Second.Innings,Wickets_by_Spinners_per_match,Wickets_by_Pacers_perMatch,Wickets_by_Spinners_First_Innings,Wickets_by_Spinners_Second_Innings,Percentage_Of_wickets_Pace_Bowlers,Percentage_Of_wickets_Spin_Bowlers,Percentage_Of_Wickets_by_Spinners_First_Innings,Percentage_Of_Wickets_by_Pacers_First_Innings,Percentage_Of_Wickets_by_Pacers_Second_Innings,Percentage_Of_Wickets_by_Spinners_Second_Innings,Fours_perMatch,Sixes_perMatch,Fours_First_Innings,Sixes_First_Innings,Fours_Second_Innings,Sixes_Second_Innings,DeathOvers_Runs_Scored_perMatch.x,MiddleOvers_Runs_Scored_perMatch.x,Powerplay_Runs_Scored_perMatch.x,DeathOvers_Wickets_perMatch.x,MiddleOvers_Wickets_perMatch.x,Powerplay_Wickets_perMatch.x,DeathOvers_Dot_Pct_perMatch.x,MiddleOvers_Dot_Pct_perMatch.x,Powerplay_Dot_Pct_perMatch.x,DeathOvers_Boundary_Pct_perMatch.x,MiddleOvers_Boundary_Pct_perMatch.x,Powerplay_Boundary_Pct_perMatch.x,DeathOvers_Fours_perMatch.x,MiddleOvers_Fours_perMatch.x,Powerplay_Fours_perMatch.x,DeathOvers_Sixes_perMatch.x,MiddleOvers_Sixes_perMatch.x,Powerplay_Sixes_perMatch.x,DeathOvers_Runs_Scored_First_Innings.x,DeathOvers_Runs_Scored_Second_Innings.x,MiddleOvers_Runs_Scored_First_Innings.x,MiddleOvers_Runs_Scored_Second_Innings.x,Powerplay_Runs_Scored_First_Innings.x,Powerplay_Runs_Scored_Second_Innings.x,DeathOvers_Wickets_First_Innings.x,DeathOvers_Wickets_Second_Innings.x,MiddleOvers_Wickets_First_Innings.x,MiddleOvers_Wickets_Second_Innings.x,Powerplay_Wickets_First_Innings.x,Powerplay_Wickets_Second_Innings.x,DeathOvers_Dot_Pct_First_Innings.x,DeathOvers_Dot_Pct_Second_Innings.x,MiddleOvers_Dot_Pct_First_Innings.x,MiddleOvers_Dot_Pct_Second_Innings.x,Powerplay_Dot_Pct_First_Innings.x,Powerplay_Dot_Pct_Second_Innings.x,DeathOvers_Boundary_Pct_First_Innings.x,DeathOvers_Boundary_Pct_Second_Innings.x,MiddleOvers_Boundary_Pct_First_Innings.x,MiddleOvers_Boundary_Pct_Second_Innings.x,Powerplay_Boundary_Pct_First_Innings.x,Powerplay_Boundary_Pct_Second_Innings.x,DeathOvers_Fours_First_Innings.x,DeathOvers_Fours_Second_Innings.x,MiddleOvers_Fours_First_Innings.x,MiddleOvers_Fours_Second_Innings.x,Powerplay_Fours_First_Innings.x,Powerplay_Fours_Second_Innings.x,DeathOvers_Sixes_First_Innings.x,DeathOvers_Sixes_Second_Innings.x,MiddleOvers_Sixes_First_Innings.x,MiddleOvers_Sixes_Second_Innings.x,Powerplay_Sixes_First_Innings.x,Powerplay_Sixes_Second_Innings.x,DeathOvers_Runs_Scored_perMatch.y,MiddleOvers_Runs_Scored_perMatch.y,Powerplay_Runs_Scored_perMatch.y,DeathOvers_Wickets_perMatch.y,MiddleOvers_Wickets_perMatch.y,Powerplay_Wickets_perMatch.y,DeathOvers_Dot_Pct_perMatch.y,MiddleOvers_Dot_Pct_perMatch.y,Powerplay_Dot_Pct_perMatch.y,DeathOvers_Boundary_Pct_perMatch.y,MiddleOvers_Boundary_Pct_perMatch.y,Powerplay_Boundary_Pct_perMatch.y,DeathOvers_Fours_perMatch.y,MiddleOvers_Fours_perMatch.y,Powerplay_Fours_perMatch.y,DeathOvers_Sixes_perMatch.y,MiddleOvers_Sixes_perMatch.y,Powerplay_Sixes_perMatch.y,DeathOvers_Runs_Scored_First_Innings.y,DeathOvers_Runs_Scored_Second_Innings.y,MiddleOvers_Runs_Scored_First_Innings.y,MiddleOvers_Runs_Scored_Second_Innings.y,Powerplay_Runs_Scored_First_Innings.y,Powerplay_Runs_Scored_Second_Innings.y,DeathOvers_Wickets_First_Innings.y,DeathOvers_Wickets_Second_Innings.y,MiddleOvers_Wickets_First_Innings.y,MiddleOvers_Wickets_Second_Innings.y,Powerplay_Wickets_First_Innings.y,Powerplay_Wickets_Second_Innings.y,DeathOvers_Dot_Pct_First_Innings.y,DeathOvers_Dot_Pct_Second_Innings.y,MiddleOvers_Dot_Pct_First_Innings.y,MiddleOvers_Dot_Pct_Second_Innings.y,Powerplay_Dot_Pct_First_Innings.y,Powerplay_Dot_Pct_Second_Innings.y,DeathOvers_Boundary_Pct_First_Innings.y,DeathOvers_Boundary_Pct_Second_Innings.y,MiddleOvers_Boundary_Pct_First_Innings.y,MiddleOvers_Boundary_Pct_Second_Innings.y,Powerplay_Boundary_Pct_First_Innings.y,Powerplay_Boundary_Pct_Second_Innings.y,DeathOvers_Fours_First_Innings.y,DeathOvers_Fours_Second_Innings.y,MiddleOvers_Fours_First_Innings.y,MiddleOvers_Fours_Second_Innings.y,Powerplay_Fours_First_Innings.y,Powerplay_Fours_Second_Innings.y,DeathOvers_Sixes_First_Innings.y,DeathOvers_Sixes_Second_Innings.y,MiddleOvers_Sixes_First_Innings.y,MiddleOvers_Sixes_Second_Innings.y,Powerplay_Sixes_First_Innings.y,Powerplay_Sixes_Second_Innings.y
1,"Arun Jaitley Stadium, Delhi",Delhi,19,202.05,201.47,22.39%,23.20%,21.52%,12.68,6.11,6.47,4.53,6.47,2.05,2.47,60.22%,39.78%,37.89%,62.11%,55.25%,44.75%,34.0,19.26,17.63,10.42,16.21,8.79,97.68,151.26,118.68,4.68,4.89,3.11,25.96%,29.89%,40.35%,24.36%,16.86%,29.07%,7.47,10.42,16.11,6.21,7.89,5.16,56.74,40.95,76.0,75.26,58.95,54.05,2.21,2.47,2.47,2.42,1.42,1.52,24.92%,26.46%,29.32%,30.44%,41.65%,37.18%,27.45%,21.89%,16.67%,17.04%,29.40%,29.77%,4.63,2.84,5.0,5.42,8.0,7.33,3.68,2.53,4.05,3.84,2.68,2.24,97.68,151.26,118.68,4.68,4.89,3.11,25.96%,29.89%,40.35%,24.36%,16.86%,29.07%,7.47,10.42,16.11,6.21,7.89,5.16,56.74,40.95,76.0,75.26,58.95,54.05,2.21,2.47,2.47,2.42,1.42,1.52,24.92%,26.46%,29.32%,30.44%,41.65%,37.18%,27.45%,21.89%,16.67%,17.04%,29.40%,29.77%,4.63,2.84,5.0,5.42,8.0,7.33,3.68,2.53,4.05,3.84,2.68,2.24
2,"Barsapara Cricket Stadium, Guwahati",Guwahati,5,168.1,174.6,18.07%,19.45%,16.71%,12.6,6.8,5.8,5.0,7.0,2.6,2.4,58.39%,41.61%,39.46%,60.54%,47.56%,52.44%,30.4,12.6,17.2,6.4,13.2,6.2,86.6,135.6,100.4,4.4,5.6,2.6,28.32%,27.68%,48.63%,19.43%,13.10%,24.57%,6.0,10.2,14.2,5.0,4.0,3.6,43.8,42.8,65.8,69.8,58.6,41.8,2.8,1.6,3.4,2.2,0.6,2.0,34.06%,20.30%,29.93%,25.43%,42.34%,55.00%,18.92%,20.64%,12.90%,13.30%,29.62%,19.44%,3.6,2.4,5.2,5.0,8.4,5.8,2.2,2.8,1.8,2.2,2.4,1.2,86.6,135.6,100.4,4.4,5.6,2.6,28.32%,27.68%,48.63%,19.43%,13.10%,24.57%,6.0,10.2,14.2,5.0,4.0,3.6,43.8,42.8,65.8,69.8,58.6,41.8,2.8,1.6,3.4,2.2,0.6,2.0,34.06%,20.30%,29.93%,25.43%,42.34%,55.00%,18.92%,20.64%,12.90%,13.30%,29.62%,19.44%,3.6,2.4,5.2,5.0,8.4,5.8,2.2,2.8,1.8,2.2,2.4,1.2
3,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,22,166.91,175.36,17.80%,17.13%,19.00%,11.77,6.32,5.71,3.59,7.05,1.95,1.71,67.47%,32.53%,30.70%,69.30%,66.47%,33.53%,27.95,13.32,13.32,7.36,15.33,6.24,80.36,138.95,98.09,4.27,5.05,2.45,28.88%,30.92%,41.00%,19.53%,14.57%,21.43%,5.82,10.14,12.0,4.32,5.64,3.36,49.82,32.0,70.18,72.05,47.36,53.14,2.45,1.9,2.45,2.71,1.41,1.1,25.64%,34.22%,29.14%,32.49%,42.28%,39.11%,20.82%,18.72%,13.88%,15.87%,18.99%,24.50%,3.41,2.52,4.73,5.67,5.18,7.14,2.86,1.52,2.82,2.95,1.68,1.76,80.36,138.95,98.09,4.27,5.05,2.45,28.88%,30.92%,41.00%,19.53%,14.57%,21.43%,5.82,10.14,12.0,4.32,5.64,3.36,49.82,32.0,70.18,72.05,47.36,53.14,2.45,1.9,2.45,2.71,1.41,1.1,25.64%,34.22%,29.14%,32.49%,42.28%,39.11%,20.82%,18.72%,13.88%,15.87%,18.99%,24.50%,3.41,2.52,4.73,5.67,5.18,7.14,2.86,1.52,2.82,2.95,1.68,1.76
4,"Brabourne Stadium, Mumbai",Mumbai,16,170.72,177.25,19.81%,20.15%,20.22%,12.75,6.69,6.06,4.75,7.19,2.44,2.31,60.40%,39.60%,40.27%,59.73%,58.43%,41.57%,32.12,13.69,16.62,7.62,15.5,6.06,82.25,141.44,99.06,4.94,4.94,2.88,34.27%,32.28%,45.96%,20.44%,16.09%,23.88%,6.94,11.19,14.0,4.5,5.88,3.31,43.88,43.86,71.25,70.19,53.38,45.69,2.69,2.57,2.62,2.31,1.38,1.5,34.25%,29.00%,34.48%,28.37%,45.83%,46.08%,20.08%,23.37%,16.04%,16.81%,26.15%,21.61%,3.69,3.71,5.69,5.5,7.25,6.75,2.38,2.43,3.0,2.88,2.25,1.06,82.25,141.44,99.06,4.94,4.94,2.88,34.27%,32.28%,45.96%,20.44%,16.09%,23.88%,6.94,11.19,14.0,4.5,5.88,3.31,43.88,43.86,71.25,70.19,53.38,45.69,2.69,2.57,2.62,2.31,1.38,1.5,34.25%,29.00%,34.48%,28.37%,45.83%,46.08%,20.08%,23.37%,16.04%,16.81%,26.15%,21.61%,3.69,3.71,5.69,5.5,7.25,6.75,2.38,2.43,3.0,2.88,2.25,1.06
5,"Dr DY Patil Sports Academy, Mumbai",Mumbai,20,164.32,170.7,17.05%,17.41%,16.71%,12.65,6.3,6.35,3.5,8.55,1.55,1.95,69.97%,30.03%,31.56%,68.44%,67.45%,32.55%,26.1,14.25,13.65,7.35,12.45,6.9,84.95,138.65,86.35,5.1,4.3,3.25,32.40%,32.72%,48.10%,21.08%,14.24%,18.26%,6.5,9.15,10.45,5.05,6.35,2.85,46.95,38.0,71.3,67.35,42.9,43.45,2.9,2.2,1.85,2.45,1.55,1.7,29.78%,33.91%,32.01%,33.44%,47.74%,48.50%,21.29%,23.45%,15.03%,13.45%,17.80%,18.74%,3.85,2.65,4.7,4.45,5.1,5.35,2.5,2.55,3.45,2.9,1.4,1.45,84.95,138.65,86.35,5.1,4.3,3.25,32.40%,32.72%,48.10%,21.08%,14.24%,18.26%,6.5,9.15,10.45,5.05,6.35,2.85,46.95,38.0,71.3,67.35,42.9,43.45,2.9,2.2,1.85,2.45,1.55,1.7,29.78%,33.91%,32.01%,33.44%,47.74%,48.50%,21.29%,23.45%,15.03%,13.45%,17.80%,18.74%,3.85,2.65,4.7,4.45,5.1,5.35,2.5,2.55,3.45,2.9,1.4,1.45
6,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,4,193.62,208.75,23.10%,24.01%,22.12%,14.5,7.5,7.0,3.75,8.5,1.5,2.25,68.74%,31.26%,21.67%,78.33%,58.89%,41.11%,30.75,22.5,16.25,12.75,14.5,9.75,79.5,177.75,106.0,4.75,5.75,4.0,31.34%,27.82%,42.33%,22.51%,22.08%,24.59%,6.0,11.5,13.25,5.25,12.5,4.75,45.0,34.5,88.0,89.75,63.0,43.0,3.0,1.75,3.0,2.75,1.5,2.5,29.03%,34.31%,31.32%,24.28%,37.19%,47.64%,18.96%,29.35%,22.14%,22.03%,30.47%,18.58%,2.75,3.25,5.0,6.5,8.5,4.75,3.0,2.25,7.0,5.5,2.75,2.0,79.5,177.75,106.0,4.75,5.75,4.0,31.34%,27.82%,42.33%,22.51%,22.08%,24.59%,6.0,11.5,13.25,5.25,12.5,4.75,45.0,34.5,88.0,89.75,63.0,43.0,3.0,1.75,3.0,2.75,1.5,2.5,29.03%,34.31%,31.32%,24.28%,37.19%,47.64%,18.96%,29.35%,22.14%,22.03%,30.47%,18.58%,2.75,3.25,5.0,6.5,8.5,4.75,3.0,2.25,7.0,5.5,2.75,2.0
7,"Eden Gardens, Kolkata",Kolkata,23,186.22,196.78,22.76%,22.85%,22.58%,11.7,5.91,5.78,4.48,6.39,2.04,2.43,60.82%,39.18%,34.28%,65.72%,54.78%,45.22%,32.57,19.3,17.48,9.96,15.09,9.35,93.26,149.57,109.83,3.74,4.96,3.0,29.47%,30.43%,41.84%,26.39%,18.11%,26.28%,7.43,11.87,13.26,6.65,7.09,5.57,55.52,41.33,78.57,74.23,52.61,57.22,2.0,1.9,2.43,2.64,1.48,1.52,26.42%,32.25%,30.60%,30.63%,42.86%,41.24%,28.94%,25.19%,18.51%,17.30%,24.03%,28.26%,5.0,2.67,6.35,5.77,6.13,7.13,3.61,3.33,3.74,3.5,2.61,2.96,93.26,149.57,109.83,3.74,4.96,3.0,29.47%,30.43%,41.84%,26.39%,18.11%,26.28%,7.43,11.87,13.26,6.65,7.09,5.57,55.52,41.33,78.57,74.23,52.61,57.22,2.0,1.9,2.43,2.64,1.48,1.52,26.42%,32.25%,30.60%,30.63%,42.86%,41.24%,28.94%,25.19%,18.51%,17.30%,24.03%,28.26%,5.0,2.67,6.35,5.77,6.13,7.13,3.61,3.33,3.74,3.5,2.61,2.96
8,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,6,172.67,194.33,24.21%,25.05%,22.25%,11.5,4.83,8.0,2.5,7.83,0.67,2.2,82.02%,17.98%,8.89%,91.11%,73.17%,26.83%,30.5,18.33,16.83,10.5,16.4,9.4,108.6,140.5,101.33,4.6,4.83,2.83,28.13%,26.65%,43.03%,29.25%,20.21%,25.96%,8.8,11.0,12.17,7.8,7.0,4.83,64.4,44.2,76.17,77.2,59.17,50.6,2.0,2.6,1.83,3.6,1.33,1.8,18.54%,40.46%,25.77%,30.65%,39.43%,49.44%,31.76%,25.65%,20.72%,18.05%,26.15%,25.00%,5.2,3.6,6.0,6.0,6.5,6.8,4.4,3.4,3.83,3.8,3.0,2.2,108.6,140.5,101.33,4.6,4.83,2.83,28.13%,26.65%,43.03%,29.25%,20.21%,25.96%,8.8,11.0,12.17,7.8,7.0,4.83,64.4,44.2,76.17,77.2,59.17,50.6,2.0,2.6,1.83,3.6,1.33,1.8,18.54%,40.46%,25.77%,30.65%,39.43%,49.44%,31.76%,25.65%,20.72%,18.05%,26.15%,25.00%,5.2,3.6,6.0,6.0,6.5,6.8,4.4,3.4,3.83,3.8,3.0,2.2
9,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,19,184.45,189.05,21.30%,21.17%,21.64%,12.42,6.11,6.32,3.0,8.26,1.79,1.21,73.33%,26.67%,32.93%,67.07%,80.79%,19.21%,29.68,19.63,14.84,10.42,14.84,9.21,93.44,157.58,104.37,4.61,4.89,3.16,28.97%,28.52%,42.17%,24.69%,18.53%,23.53%,6.89,11.05,12.11,6.33,8.74,4.89,54.06,41.71,78.26,79.32,50.42,53.95,2.5,2.24,2.47,2.42,1.26,1.89,28.62%,28.05%,29.07%,27.96%,43.09%,41.29%,26.31%,23.53%,18.02%,19.04%,22.12%,24.93%,4.11,2.94,5.42,5.63,5.53,6.58,3.83,2.65,4.32,4.42,2.47,2.42,93.44,157.58,104.37,4.61,4.89,3.16,28.97%,28.52%,42.17%,24.69%,18.53%,23.53%,6.89,11.05,12.11,6.33,8.74,4.89,54.06,41.71,78.26,79.32,50.42,53.95,2.5,2.24,2.47,2.42,1.26,1.89,28.62%,28.05%,29.07%,27.96%,43.09%,41.29%,26.31%,23.53%,18.02%,19.04%,22.12%,24.93%,4.11,2.94,5.42,5.63,5.53,6.58,3.83,2.65,4.32,4.42,2.47,2.42
10,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,24,160.98,168.33,16.31%,16.55%,16.44%,12.88,7.21,5.67,4.25,7.58,2.42,1.83,63.82%,36.18%,34.19%,65.81%,59.17%,40.83%,25.88,12.04,13.58,6.33,12.29,5.71,78.33,125.0,99.62,4.38,5.42,3.08,32.68%,31.08%,40.17%,18.55%,11.11%,21.97%,5.67,7.21,13.0,4.46,4.67,2.92,44.38,37.05,65.17,59.83,49.12,50.5,2.96,1.55,2.75,2.67,1.5,1.58,32.38%,32.95%,29.50%,32.30%,39.99%,40.38%,18.87%,18.50%,11.59%,10.89%,22.00%,21.92%,3.0,2.91,3.79,3.42,6.79,6.21,2.67,1.95,2.5,2.17,1.17,1.75,78.33,125.0,99.62,4.38,5.42,3.08,32.68%,31.08%,40.17%,18.55%,11.11%,21.97%,5.67,7.21,13.0,4.46,4.67,2.92,44.38,37.05,65.17,59.83,49.12,50.5,2.96,1.55,2.75,2.67,1.5,1.58,32.38%,32.95%,29.50%,32.30%,39.99%,40.38%,18.87%,18.50%,11.59%,10.89%,22.00%,21.92%,3.0,2.91,3.79,3.42,6.79,6.21,2.67,1.95,2.5,2.17,1.17,1.75
