"","player_name","team","games_played_window","avg_points_q1_per_game","avg_points_q2_per_game","avg_points_q3_per_game","avg_points_q4_per_game","avg_points_first_half_per_game","avg_points_second_half_per_game","points_per_game_last5","rebounds_per_game_last5","assists_per_game_last5","threes_made_per_game_last5","points_per_game_last10","rebounds_per_game_last10","assists_per_game_last10","threes_made_per_game_last10","points_per_game_last15","rebounds_per_game_last15","assists_per_game_last15","threes_made_per_game_last15"
"1","A.J. Lawson","Raptors",57,0.86,1.07,1.51,3.18,1.93,4.68,10,4.4,0.6,1.2,14.4,5.6,1.5,2.1,11,4.13,1.13,1.67
"2","AJ Green","Bucks",126,1.24,2.14,1.5,2.83,3.38,4.33,11,2.8,2,3.6,8.8,3.2,1.7,2.9,7.47,2.53,1.8,2.4
"3","AJ Griffin","Hawks",82,1.99,2.26,1.44,2.57,4.24,4.01,5.5,0.8,0.5,0.5,3.67,0.5,0.33,0.33,2.6,0.33,0.2,0.2
"4","AJ Johnson","Wizards",18,0.89,0.94,2.22,3.44,1.83,5.67,10,1.6,1.8,1,10.2,2.2,2.9,1.2,9,1.67,2.92,1
"5","Aaron Gordon","Nuggets",312,4.5,3.65,3.97,2.63,8.15,6.6,12.6,9.4,4.2,2,15.9,7.9,3.1,1.7,17.33,7.4,2.53,1.6
"6","Aaron Henry","76ers",1,0,0,0,2,0,2,0.67,0,0,0,0.4,0.1,0,0,0.4,0.07,0,0
"7","Aaron Holiday","Rockets",214,1.31,1.45,1.69,2.5,2.76,4.19,6,0.2,1,1,4.67,0.6,1.5,0.83,5.3,0.73,1.4,1.1
"8","Aaron Nesmith","Pacers",251,2.4,2.98,2.66,2.8,5.37,5.46,8.4,5,1.2,2,9.5,4.9,0.9,2.2,11.33,5.27,1.07,2.4
"9","Aaron Wiggins","Thunder",275,1.8,2.89,1.81,2.48,4.68,4.29,4,2,0.8,1,5.11,1.6,0.89,1.22,4.36,1.8,1.14,1
"10","Abdel Nader","Suns",9,0.56,1.11,1.11,1,1.67,2.11,NA,0,NA,NA,0,0.2,0,0,2.5,0.93,0.5,0.33
"11","Adam Flagler","Thunder",14,0.43,0.57,0,3.57,1,3.57,3.4,1.6,0.8,0.8,2.7,1.6,1.2,0.6,2.31,1.13,0.92,0.54
"12","Adama Sanogo","Bulls",7,0.86,1.14,1.86,2.43,2,4.29,1.33,1,0,0,6,2.6,0.2,0,3.78,2.33,0.11,0
"13","Adem Bona","76ers",39,1.62,1.74,1.21,1.74,3.36,2.95,14.75,7,1.25,0,13.33,7.2,1,0,10.46,5.73,0.77,0
"14","Admiral Schofield","Magic",59,0.37,1.61,0.86,2.69,1.98,3.56,1.5,0.4,0.5,0.5,1.5,0.5,0.5,0.5,1.38,0.53,0.25,0.38
"15","Ahmad Caver","Pacers",1,0,0,0,2,0,2,2,0,0,0,2,0,0,0,2,0,0,0
"16","Ajay Mitchell","Thunder",40,0.6,2.08,0.75,3.45,2.67,4.2,1,0.2,2,0,3.33,0.6,1,0.17,2.78,0.47,0.78,0.22
"17","Al Horford","Celtics",317,2.68,2.36,2.66,1.79,5.04,4.45,9.2,5,1.4,1.6,8.3,6.1,1.7,1.3,8.07,6.73,2.13,1.47
"18","Alec Burks","Heat",230,2.43,3.23,2.78,3.09,5.65,5.87,4,1,1.5,1,8.86,1.3,1.43,2.57,8.25,1.07,1.5,2.38
"19","Aleem Ford","Magic",3,0,3,1,0.67,3,1.67,2.8,3,0.4,0.4,2.8,3,0.4,0.4,2.8,3,0.4,0.4
"20","Aleksej Pokusevski","Hornets",106,1.82,2.49,2.06,1.95,4.31,4.01,8.8,5.8,1.2,1.4,8.4,4.8,1.2,1.1,7.73,4.73,1.67,0.93
"21","Alex Caruso","Thunder",242,1.95,2.37,2.18,1.68,4.32,3.86,8,3.2,1.6,1,9.2,3,1.5,1.3,9.6,2.6,1.73,1.53
"22","Alex Ducas","Thunder",8,0,0.38,0,3.5,0.38,3.5,1.6,1.2,0.4,0.4,1.14,0.6,0.29,0.29,1.1,0.6,0.3,0.3
"23","Alex Fudge","Mavericks",3,0,1.67,0.67,2.67,1.67,3.33,3.67,0.6,0,0.33,2.6,0.5,0,0.2,2.5,0.33,0,0.17
"24","Alex Len","Lakers",102,1.36,1.36,0.81,1.24,2.73,2.05,0,0.8,0,0,0,0.4,0,0,2.5,0.93,0.25,0.25
"25","Alex Reese","76ers",12,0.67,1.67,1.08,1.75,2.33,2.83,7.5,2.4,0.25,2,6,3.2,0.22,1.33,5.17,2.4,0.25,1.08
"26","Alex Sarr","Wizards",60,4.07,2.97,3.37,2.42,7.03,5.78,15.4,6,2.6,1,18,6.4,2.6,2,16.93,7.07,2.67,1.87
"27","Alfonzo McKinnie","Bulls",12,1.92,0.58,0.67,1.75,2.5,2.42,NA,0,NA,NA,0.5,0.2,0,0,0.6,0.53,0.2,0
"28","Alize Johnson","Spurs",11,0.27,1.09,0.91,2.09,1.36,3,1.67,1.4,0.33,0,1.83,1.8,0.17,0,1.78,1.8,0.22,0
"29","Alondes Williams","Pistons",3,0,0,0,3.33,0,3.33,5,0,1,1,3.5,0,0.5,0.5,1.4,0,0.2,0.2
"30","Alperen Sengun","Rockets",283,3.99,4.25,4.46,3.41,8.24,7.87,20.6,11.6,5.8,0.2,20.6,11.7,4.5,0.3,20.07,11.6,4.6,0.33
"31","Amari Bailey","Hornets",5,0.6,0.4,0,3.6,1,3.6,8,1.4,2.5,0.5,3,0.7,1,0.17,2.57,0.47,0.86,0.14
"32","Amen Thompson","Rockets",131,3.18,2.92,2.83,3.2,6.09,6.03,18.2,7.6,2.8,0.2,15.7,7.3,3.9,0.2,15.7,4.87,3.9,0.2
"33","Amir Coffey","Clippers",216,1.75,2.2,2.18,2.89,3.95,5.06,NA,0,NA,NA,6,0.7,1,1,7.5,0.8,1,1.38
"34","Andre Drummond","76ers",257,1.8,2.51,1.68,1.69,4.31,3.37,5,1.6,0.5,0,9.29,6.6,2,0.29,8.45,6.13,1.45,0.18
"35","Andre Iguodala","Warriors",32,1.19,1.41,0.78,1.38,2.59,2.16,2,2,2.8,0,2.12,1.7,2.38,0.12,2,1.13,2,0.17
"36","Andre Jackson Jr.","Bucks",73,1.62,0.81,1.08,1.33,2.42,2.41,0,0,0,0,0,0.3,0.33,0,0.71,0.53,0.29,0
"37","Andrew Nembhard","Pacers",235,2.61,2.77,2.53,2.56,5.38,5.09,11.4,2.8,3.2,1.6,10.5,2.9,3.8,1.4,11.07,3.07,4,1.47
"38","Andrew Wiggins","Heat",280,4.74,3.98,4.49,2.85,8.71,7.34,13.2,4.4,2.4,2.2,15.25,3.4,2.62,1.88,15.91,2.73,2.73,1.91
