"","team_id","team_name","games_played","avg_pts_q1","avg_pts_q2","avg_pts_q3","avg_pts_q4","avg_pts_h1","avg_pts_h2","avg_pts_conc_q1","avg_pts_conc_q2","avg_pts_conc_q3","avg_pts_conc_q4","avg_pts_conc_h1","avg_pts_conc_h2","wins_when_leading_q1","wins_when_trailing_q1","wins_when_leading_q2","wins_when_trailing_q2","wins_when_leading_q3","wins_when_trailing_q3","wins_when_leading_q4","wins_when_trailing_q4","wins_when_leading_ht","wins_when_trailing_ht","avg_win_margin","avg_loss_margin","avg_diff_q1","avg_diff_q2","avg_diff_q3","avg_diff_q4","avg_diff_h1","avg_diff_h2"
"1",1,"Atlanta",337,29.4035608308605,30.0682492581602,29.053412462908,27.5578635014837,59.4718100890208,56.6112759643917,29.6053412462908,29.7744807121662,29.3768545994065,28.0682492581602,59.379821958457,57.4451038575668,106,50,100,55,97,52,85,65,117,40,10.7716049382716,-11.4,-0.201780415430267,0.293768545994065,-0.32344213649851,-0.510385756676558,0.0919881305637942,-0.83382789317507
"2",2,"Boston",394,29.5329949238579,29.1218274111675,28.753807106599,26.7664974619289,58.6548223350254,55.5203045685279,26.4619289340102,26.9162436548223,26.8274111675127,26.0939086294416,53.3781725888325,52.9213197969543,193,71,191,69,187,76,154,108,222,44,15.3978102189781,-9.225,3.07106598984772,2.20558375634518,1.9263959390863,0.67258883248731,5.27664974619289,2.5989847715736
"3",17,"Brooklyn",330,28.1212121212121,27.9454545454545,27.3575757575758,26.5636363636364,56.0666666666667,53.9212121212121,28.2484848484848,28.4878787878788,28.0030303030303,27.030303030303,56.7363636363636,55.0333333333333,98,43,75,67,93,51,90,52,95,49,10.9795918367347,-12.1967213114754,-0.127272727272729,-0.542424242424243,-0.645454545454547,-0.466666666666666,-0.669696969696965,-1.11212121212121
"4",30,"Charlotte",320,26.684375,27.153125,27.903125,27.45625,53.8375,55.359375,29.471875,29.25625,28.953125,27.525,58.728125,56.478125,55,49,60,45,66,31,71,30,66,39,9.70642201834862,-14.4123222748815,-2.7875,-2.103125,-1.04999999999999,-0.0687499999999995,-4.890625,-1.11875
"5",4,"Chicago",333,27.5435435435435,27.96996996997,28.7477477477477,28.012012012012,55.5135135135135,56.7597597597598,28.5255255255255,28.0840840840841,28.8528528528529,27.7867867867868,56.6096096096096,56.6396396396396,96,59,106,50,95,57,107,53,110,52,11.4294478527607,-12.6764705882353,-0.981981981981982,-0.114114114114113,-0.105105105105105,0.225225225225225,-1.0960960960961,0.120120120120115
"6",5,"Cleveland",348,29.1896551724138,28.1867816091954,27.9597701149425,26.7988505747126,57.3764367816092,54.7586206896552,27.4166666666667,26.9425287356322,27.7959770114943,25.7471264367816,54.3591954022989,53.5431034482759,141,61,137,62,125,76,131,73,156,47,13.5471698113208,-9.77205882352941,1.77298850574713,1.24425287356322,0.163793103448275,1.05172413793104,3.01724137931034,1.21551724137931
"7",6,"Dallas",361,28.6038781163435,28.4653739612188,28.4542936288089,26.9279778393352,57.0692520775623,55.382271468144,27.983379501385,28.0526315789474,28.005540166205,26.9141274238227,56.0360110803324,54.9196675900277,122,73,128,65,126,65,108,80,137,57,12.21,-11.776397515528,0.620498614958448,0.412742382271469,0.44875346260388,0.0138504155124653,1.03324099722991,0.462603878116346
"8",7,"Denver",371,29.8140161725067,29.0566037735849,28.9676549865229,26.4420485175202,58.8706199460916,55.4097035040431,28.0862533692722,28.7870619946092,27.5822102425876,26.7169811320755,56.8733153638814,54.2991913746631,161,65,140,89,153,71,129,87,162,63,12.0042735042735,-11.7299270072993,1.7277628032345,0.269541778975744,1.38544474393531,-0.274932614555257,1.99730458221025,1.11051212938006
"9",8,"Detroit",325,27.3661538461538,27.5907692307692,27.9507692307692,26.3815384615385,54.9569230769231,54.3323076923077,29.4092307692308,29.0738461538462,29.2984615384615,27.4184615384615,58.4830769230769,56.7169230769231,58,34,54,39,66,29,53,35,62,29,10.1578947368421,-12.5521739130435,-2.04307692307692,-1.48307692307692,-1.34769230769231,-1.03692307692308,-3.52615384615385,-2.38461538461538
"10",9,"Golden State",370,28.2513513513514,28.5675675675676,29.5891891891892,27.8108108108108,56.8189189189189,57.4,28.1513513513514,28.0108108108108,27.9837837837838,27.0702702702703,56.1621621621622,55.054054054054,131,75,131,71,139,68,138,63,155,55,12.9953488372093,-10.9612903225806,0.100000000000003,0.556756756756758,1.6054054054054,0.740540540540543,0.656756756756761,2.34594594594594
