"Batter_Name","where_caught","count_of_where_caught"
"Ayush Badoni","deep fine leg",5
"Ayush Badoni","deep mid-wicket",3
"Ayush Badoni","mid-on",3
"Ayush Badoni","point",3
"Ayush Badoni","deep square leg",2
"Ayush Badoni","long-off",2
"Ayush Badoni","third man",2
"Ayush Badoni","cover",1
"Ayush Badoni","gully",1
"Ayush Badoni","mid-off",1
"Ayush Badoni","mid-wicket",1
"Ayush Badoni","slip",1
"Ayush Badoni","wicket-keeper",1
"A Kamboj","gully",1
"Abhinav Manohar","long-off",3
"Abhinav Manohar","deep cover",2
"Abhinav Manohar","mid-on",2
"Abhinav Manohar","third man",2
"Abhinav Manohar","cover",1
"Abhinav Manohar","gully",1
"Abhinav Manohar","mid-off",1
"Abhinav Manohar","slip",1
"A Mhatre","deep cover",1
"A Mhatre","deep fine leg",1
"A Mhatre","deep square leg",1
"A Mhatre","gully",1
"A Mhatre","mid-off",1
"A Mhatre","mid-wicket",1
"A Mhatre","wicket-keeper",1
"Amit Mishra","deep square leg",1
"Anrich Nortje","square leg",1
"Angkrish Raghuvanshi","cover",2
"Angkrish Raghuvanshi","gully",2
"Angkrish Raghuvanshi","long-on",2
"Angkrish Raghuvanshi","square leg",2
"Angkrish Raghuvanshi","wicket-keeper",2
"Angkrish Raghuvanshi","deep cover",1
"Angkrish Raghuvanshi","deep fine leg",1
"Angkrish Raghuvanshi","mid-on",1
"Angkrish Raghuvanshi","point",1
"Angkrish Raghuvanshi","slip",1
"Abhijeet Tomar","deep mid-wicket",1
"AA Kulkarni","gully",1
"Andre Russell","long-on",3
"Andre Russell","mid-wicket",3
"Andre Russell","deep mid-wicket",2
"Andre Russell","long-off",2
"Andre Russell","mid-off",2
"Andre Russell","slip",2
"Andre Russell","third man",2
"Andre Russell","cover",1
"Andre Russell","deep fine leg",1
"Andre Russell","deep square leg",1
"Andre Russell","fine leg",1
"Andre Russell","mid-on",1
"Andre Russell","point",1
"Aaron Finch","cover",1
"Aaron Finch","long-off",1
"Aaron Finch","mid-on",1
"Ashton Turner","non-striker's end",1
"Aiden Markram","deep fine leg",5
"Aiden Markram","long-on",3
"Aiden Markram","cover",2
"Aiden Markram","deep mid-wicket",2
"Aiden Markram","fine leg",2
"Aiden Markram","mid-on",2
"Aiden Markram","mid-wicket",2
"Aiden Markram","point",2
"Aiden Markram","square leg",2
"Aiden Markram","deep cover",1
"Aiden Markram","gully",1
"Aiden Markram","long-off",1
"Aiden Markram","slip",1
"Aiden Markram","wicket-keeper",1
"Ajinkya Rahane","gully",4
"Ajinkya Rahane","deep fine leg",3
"Ajinkya Rahane","mid-wicket",3
"Ajinkya Rahane","slip",3
"Ajinkya Rahane","square leg",3
"Ajinkya Rahane","wicket-keeper",3
"Ajinkya Rahane","mid-off",2
"Ajinkya Rahane","mid-on",2
"Ajinkya Rahane","cover",1
"Ajinkya Rahane","deep cover",1
"Ajinkya Rahane","deep square leg",1
"Ajinkya Rahane","fine leg",1
"Ajinkya Rahane","long-off",1
"Ajinkya Rahane","non-striker's end",1
"Ajinkya Rahane","point",1
"Ajinkya Rahane","third man",1
"Axar Patel","deep mid-wicket",4
"Axar Patel","gully",3
"Axar Patel","mid-wicket",3
"Axar Patel","long-off",2
"Axar Patel","slip",2
"Axar Patel","cover",1
"Axar Patel","deep cover",1
"Axar Patel","deep fine leg",1
"Axar Patel","deep square leg",1
"Axar Patel","mid-on",1
"Axar Patel","point",1
"Axar Patel","third man",1
"Alzarri Joseph","third man",1
"Anukul Roy","deep fine leg",1
"Anukul Roy","point",1
"Anukul Roy","wicket-keeper",1
"Ambati Rayudu","mid-on",4
"Ambati Rayudu","long-off",2
"Ambati Rayudu","mid-off",2
"Ambati Rayudu","deep cover",1
