"","venue_clean","situation","Losses","No Result","Wins"
"1","Arun Jaitley Stadium, Delhi","Lost Toss & Batted 1st",7,0,8
"2","Arun Jaitley Stadium, Delhi","Lost Toss & Bowled 1st",3,0,1
"3","Arun Jaitley Stadium, Delhi","Won Toss & Batted 1st",1,0,3
"4","Arun Jaitley Stadium, Delhi","Won Toss & Bowled 1st",9,0,6
"5","Barsapara Cricket Stadium, Guwahati","Lost Toss & Batted 1st",1,0,3
"6","Barsapara Cricket Stadium, Guwahati","Lost Toss & Bowled 1st",0,0,1
"7","Barsapara Cricket Stadium, Guwahati","Won Toss & Batted 1st",1,0,0
"8","Barsapara Cricket Stadium, Guwahati","Won Toss & Bowled 1st",3,0,1
"9","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lost Toss & Batted 1st",10,1,5
"10","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lost Toss & Bowled 1st",4,0,2
"11","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Won Toss & Batted 1st",2,0,4
"12","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Won Toss & Bowled 1st",5,1,10
"13","Brabourne Stadium, Mumbai","Lost Toss & Batted 1st",6,0,7
"14","Brabourne Stadium, Mumbai","Lost Toss & Bowled 1st",1,0,2
"15","Brabourne Stadium, Mumbai","Won Toss & Batted 1st",2,0,1
"16","Brabourne Stadium, Mumbai","Won Toss & Bowled 1st",7,0,6
"17","Dr DY Patil Sports Academy, Mumbai","Lost Toss & Batted 1st",9,0,8
"18","Dr DY Patil Sports Academy, Mumbai","Lost Toss & Bowled 1st",2,0,1
"19","Dr DY Patil Sports Academy, Mumbai","Won Toss & Batted 1st",1,0,2
"20","Dr DY Patil Sports Academy, Mumbai","Won Toss & Bowled 1st",8,0,9
"21","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Lost Toss & Batted 1st",1,0,0
"22","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Lost Toss & Bowled 1st",2,0,1
"23","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Won Toss & Batted 1st",1,0,2
