"Batter_Name","line_bin","length_bin","Balls","Runs","SR"
"Ayush Badoni","off","yorker",44,73,165.91
"Ayush Badoni","line","yorker",23,22,95.65
"Ayush Badoni","leg","yorker",13,17,130.77
"Ayush Badoni","off","full",64,74,115.62
"Ayush Badoni","line","full",64,81,126.56
"Ayush Badoni","leg","full",13,24,184.62
"Ayush Badoni","off","length",71,89,125.35
"Ayush Badoni","line","length",83,139,167.47
"Ayush Badoni","leg","length",14,23,164.29
"Ayush Badoni","off","back of length",68,96,141.18
"Ayush Badoni","line","back of length",76,110,144.74
"Ayush Badoni","leg","back of length",31,34,109.68
"Ayush Badoni","off","short",41,64,156.1
"Ayush Badoni","line","short",39,39,100
"Ayush Badoni","leg","short",19,20,105.26
"Ayush Badoni","off","bouncer",21,32,152.38
"Ayush Badoni","line","bouncer",12,18,150
"Ayush Badoni","leg","bouncer",4,8,200
"A Kamboj","off","full",1,4,400
"A Kamboj","line","full",2,0,0
"A Kamboj","line","length",3,1,33.33
"A Kamboj","off","back of length",2,5,250
"A Kamboj","leg","back of length",1,1,100
"A Kamboj","off","short",1,2,200
"A Kamboj","line","short",3,1,33.33
"A Kamboj","leg","short",1,2,200
"Abhinav Manohar","off","yorker",12,7,58.33
"Abhinav Manohar","line","yorker",13,28,215.38
"Abhinav Manohar","leg","yorker",5,3,60
"Abhinav Manohar","off","full",7,7,100
"Abhinav Manohar","line","full",20,26,130
"Abhinav Manohar","leg","full",6,9,150
"Abhinav Manohar","off","length",27,39,144.44
"Abhinav Manohar","line","length",30,37,123.33
"Abhinav Manohar","leg","length",12,10,83.33
"Abhinav Manohar","off","back of length",21,30,142.86
"Abhinav Manohar","line","back of length",27,28,103.7
"Abhinav Manohar","leg","back of length",7,8,114.29
"Abhinav Manohar","off","short",11,14,127.27
"Abhinav Manohar","line","short",18,22,122.22
"Abhinav Manohar","leg","short",1,1,100
"Abhinav Manohar","off","bouncer",8,13,162.5
"Abhinav Manohar","line","bouncer",8,8,100
"Abhinav Manohar","leg","bouncer",3,2,66.67
"A Mhatre","off","yorker",5,3,60
"A Mhatre","line","yorker",6,17,283.33
"A Mhatre","leg","yorker",1,0,0
"A Mhatre","off","full",4,5,125
"A Mhatre","line","full",10,12,120
"A Mhatre","leg","full",5,8,160
"A Mhatre","off","length",17,44,258.82
"A Mhatre","line","length",18,26,144.44
"A Mhatre","leg","length",7,13,185.71
"A Mhatre","off","back of length",17,32,188.24
"A Mhatre","line","back of length",11,36,327.27
"A Mhatre","leg","back of length",6,13,216.67
"A Mhatre","off","short",7,9,128.57
"A Mhatre","line","short",8,13,162.5
"A Mhatre","off","bouncer",3,4,133.33
"A Mhatre","leg","bouncer",2,5,250
"Amit Mishra","off","yorker",3,4,133.33
"Amit Mishra","line","yorker",3,1,33.33
"Amit Mishra","line","full",2,0,0
"Amit Mishra","leg","full",2,4,200
"Amit Mishra","off","length",1,1,100
"Amit Mishra","line","length",3,0,0
"Amit Mishra","leg","length",2,2,100
"Amit Mishra","off","back of length",2,1,50
"Amit Mishra","line","back of length",6,4,66.67
"Amit Mishra","off","short",1,0,0
"Amit Mishra","line","short",1,1,100
"Amit Mishra","off","bouncer",2,0,0
"Amit Mishra","line","bouncer",2,1,50
"Anrich Nortje","off","yorker",3,6,200
"Anrich Nortje","line","yorker",2,1,50
"Anrich Nortje","off","full",5,5,100
"Anrich Nortje","line","full",6,1,16.67
"Anrich Nortje","off","length",5,2,40
"Anrich Nortje","line","length",6,4,66.67
"Anrich Nortje","leg","length",2,4,200
"Anrich Nortje","off","back of length",4,4,100
"Anrich Nortje","line","back of length",3,9,300
"Anrich Nortje","off","short",3,5,166.67
"Anrich Nortje","line","short",3,0,0
"Anrich Nortje","leg","short",1,1,100
"Angkrish Raghuvanshi","off","yorker",18,22,122.22
"Angkrish Raghuvanshi","line","yorker",15,20,133.33
"Angkrish Raghuvanshi","leg","yorker",5,10,200
"Angkrish Raghuvanshi","off","full",30,40,133.33
"Angkrish Raghuvanshi","line","full",21,28,133.33
"Angkrish Raghuvanshi","leg","full",9,4,44.44
"Angkrish Raghuvanshi","off","length",35,53,151.43
"Angkrish Raghuvanshi","line","length",37,76,205.41
"Angkrish Raghuvanshi","leg","length",9,7,77.78
"Angkrish Raghuvanshi","off","back of length",28,27,96.43
"Angkrish Raghuvanshi","line","back of length",26,29,111.54
"Angkrish Raghuvanshi","leg","back of length",17,32,188.24
"Angkrish Raghuvanshi","off","short",26,43,165.38
"Angkrish Raghuvanshi","line","short",16,28,175
"Angkrish Raghuvanshi","leg","short",14,26,185.71
"Angkrish Raghuvanshi","off","bouncer",5,8,160
"Angkrish Raghuvanshi","line","bouncer",6,5,83.33
"Angkrish Raghuvanshi","leg","bouncer",3,5,166.67
"Abhijeet Tomar","leg","yorker",1,0,0
"Abhijeet Tomar","line","full",1,0,0
"Abhijeet Tomar","line","length",3,0,0
"Abhijeet Tomar","off","back of length",1,0,0
"Abhijeet Tomar","off","short",1,0,0
"Abhijeet Tomar","line","bouncer",1,4,400
"Adam Zampa","off","yorker",1,1,100
"Adam Zampa","line","yorker",2,2,100
"Adam Zampa","off","full",1,1,100
"Adam Zampa","line","full",2,2,100
"Adam Zampa","line","length",1,0,0
"Adam Zampa","leg","length",1,1,100
"Adam Zampa","off","back of length",2,0,0
"Adam Zampa","line","back of length",2,1,50
"Adam Zampa","off","short",1,1,100
"Adam Zampa","line","short",1,1,100
"Adam Zampa","off","bouncer",1,0,0
"Adam Zampa","line","bouncer",1,0,0
"AA Kulkarni","off","full",1,0,0
"AA Kulkarni","leg","full",1,4,400
"AA Kulkarni","off","length",2,1,50
"AA Kulkarni","leg","length",1,4,400
"AA Kulkarni","line","back of length",1,0,0
"AA Kulkarni","line","short",1,0,0
"AA Kulkarni","leg","short",1,0,0
"Andre Russell","off","yorker",22,57,259.09
"Andre Russell","line","yorker",28,50,178.57
"Andre Russell","leg","yorker",6,7,116.67
"Andre Russell","off","full",56,102,182.14
"Andre Russell","line","full",49,70,142.86
"Andre Russell","leg","full",14,22,157.14
"Andre Russell","off","length",60,95,158.33
"Andre Russell","line","length",69,79,114.49
"Andre Russell","leg","length",25,40,160
"Andre Russell","off","back of length",71,149,209.86
"Andre Russell","line","back of length",53,87,164.15
"Andre Russell","leg","back of length",20,43,215
"Andre Russell","off","short",27,37,137.04
"Andre Russell","line","short",32,53,165.62
"Andre Russell","leg","short",11,14,127.27
"Andre Russell","off","bouncer",9,10,111.11
"Andre Russell","line","bouncer",14,26,185.71
"Andre Russell","leg","bouncer",6,10,166.67
"Aaron Finch","off","yorker",4,11,275
"Aaron Finch","line","yorker",3,7,233.33
"Aaron Finch","leg","yorker",1,4,400
"Aaron Finch","off","full",5,16,320
"Aaron Finch","line","full",4,7,175
"Aaron Finch","leg","full",1,1,100
"Aaron Finch","off","length",6,7,116.67
"Aaron Finch","line","length",5,3,60
"Aaron Finch","leg","length",3,0,0
"Aaron Finch","off","back of length",6,5,83.33
"Aaron Finch","line","back of length",8,16,200
"Aaron Finch","leg","back of length",2,4,200
"Aaron Finch","off","short",5,3,60
"Aaron Finch","line","short",5,2,40
"Aaron Finch","leg","short",2,0,0
"Aaron Finch","off","bouncer",1,0,0
"Akeal Hosein","off","full",1,1,100
"Akeal Hosein","line","full",1,1,100
"Akeal Hosein","line","length",3,3,100
"Akeal Hosein","off","back of length",2,7,350
"Akeal Hosein","line","back of length",1,0,0
"Akeal Hosein","off","short",1,4,400
"Akeal Hosein","leg","short",1,0,0
"Ashton Turner","off","yorker",1,1,100
"Ashton Turner","off","full",1,0,0
"Ashton Turner","leg","full",2,6,300
"Ashton Turner","line","length",5,4,80
"Ashton Turner","leg","length",1,1,100
"Ashton Turner","off","back of length",1,1,100
"Ashton Turner","line","back of length",3,1,33.33
"Ashton Turner","off","short",2,6,300
"Ashton Turner","line","short",1,0,0
"Ashton Turner","off","bouncer",1,1,100
"Aiden Markram","off","yorker",41,68,165.85
"Aiden Markram","line","yorker",35,49,140
"Aiden Markram","leg","yorker",14,27,192.86
"Aiden Markram","off","full",86,127,147.67
"Aiden Markram","line","full",91,84,92.31
"Aiden Markram","leg","full",20,33,165
"Aiden Markram","off","length",103,136,132.04
"Aiden Markram","line","length",99,106,107.07
"Aiden Markram","leg","length",28,40,142.86
"Aiden Markram","off","back of length",122,168,137.7
"Aiden Markram","line","back of length",95,150,157.89
"Aiden Markram","leg","back of length",36,84,233.33
"Aiden Markram","off","short",44,54,122.73
"Aiden Markram","line","short",55,66,120
"Aiden Markram","leg","short",37,56,151.35
"Aiden Markram","off","bouncer",20,19,95
"Aiden Markram","line","bouncer",18,24,133.33
"Aiden Markram","leg","bouncer",4,3,75
"Ajinkya Rahane","off","yorker",38,59,155.26
"Ajinkya Rahane","line","yorker",23,29,126.09
"Ajinkya Rahane","leg","yorker",15,24,160
"Ajinkya Rahane","off","full",62,79,127.42
"Ajinkya Rahane","line","full",60,92,153.33
"Ajinkya Rahane","leg","full",23,36,156.52
"Ajinkya Rahane","off","length",85,107,125.88
"Ajinkya Rahane","line","length",91,152,167.03
"Ajinkya Rahane","leg","length",26,25,96.15
"Ajinkya Rahane","off","back of length",78,113,144.87
"Ajinkya Rahane","line","back of length",79,111,140.51
"Ajinkya Rahane","leg","back of length",36,53,147.22
"Ajinkya Rahane","off","short",49,66,134.69
"Ajinkya Rahane","line","short",52,59,113.46
"Ajinkya Rahane","leg","short",24,33,137.5
"Ajinkya Rahane","off","bouncer",19,34,178.95
"Ajinkya Rahane","line","bouncer",16,13,81.25
"Ajinkya Rahane","leg","bouncer",2,6,300
"Axar Patel","off","yorker",27,32,118.52
"Axar Patel","line","yorker",27,41,151.85
"Axar Patel","leg","yorker",8,7,87.5
"Axar Patel","off","full",52,96,184.62
"Axar Patel","line","full",58,98,168.97
"Axar Patel","leg","full",18,16,88.89
"Axar Patel","off","length",71,97,136.62
"Axar Patel","line","length",90,105,116.67
"Axar Patel","leg","length",29,35,120.69
"Axar Patel","off","back of length",66,97,146.97
"Axar Patel","line","back of length",71,93,130.99
"Axar Patel","leg","back of length",21,34,161.9
"Axar Patel","off","short",31,63,203.23
"Axar Patel","line","short",36,49,136.11
"Axar Patel","leg","short",15,21,140
"Axar Patel","off","bouncer",26,31,119.23
"Axar Patel","line","bouncer",18,33,183.33
"Axar Patel","leg","bouncer",5,15,300
"Alzarri Joseph","off","yorker",1,1,100
"Alzarri Joseph","off","full",2,2,100
"Alzarri Joseph","line","full",1,0,0
"Alzarri Joseph","leg","full",1,0,0
"Alzarri Joseph","off","length",1,0,0
"Alzarri Joseph","line","length",2,1,50
"Alzarri Joseph","leg","length",1,1,100
"Alzarri Joseph","off","back of length",3,1,33.33
"Alzarri Joseph","line","back of length",3,5,166.67
"Alzarri Joseph","leg","back of length",2,0,0
"Alzarri Joseph","leg","short",1,1,100
"Alzarri Joseph","leg","bouncer",1,0,0
"Anukul Roy","line","yorker",1,0,0
"Anukul Roy","off","full",4,4,100
"Anukul Roy","off","length",3,1,33.33
"Anukul Roy","line","length",4,8,200
"Anukul Roy","leg","length",2,1,50
"Anukul Roy","off","back of length",6,6,100
"Anukul Roy","line","back of length",2,2,100
"Anukul Roy","leg","back of length",1,0,0
"Anukul Roy","off","short",2,4,200
"Ambati Rayudu","off","yorker",17,20,117.65
"Ambati Rayudu","line","yorker",11,17,154.55
"Ambati Rayudu","leg","yorker",3,5,166.67
"Ambati Rayudu","off","full",27,39,144.44
"Ambati Rayudu","line","full",31,32,103.23
"Ambati Rayudu","leg","full",8,12,150
"Ambati Rayudu","off","length",39,54,138.46
"Ambati Rayudu","line","length",37,39,105.41
"Ambati Rayudu","leg","length",9,12,133.33
"Ambati Rayudu","off","back of length",31,42,135.48
"Ambati Rayudu","line","back of length",39,36,92.31
"Ambati Rayudu","leg","back of length",13,16,123.08
"Ambati Rayudu","off","short",17,44,258.82
"Ambati Rayudu","line","short",27,37,137.04
"Ambati Rayudu","leg","short",12,6,50
"Ambati Rayudu","off","bouncer",4,8,200
"Ambati Rayudu","line","bouncer",10,13,130
"Ambati Rayudu","leg","bouncer",2,0,0
