"","full.name","bowler.type","bowler_category","Team","ov_01","ov_02","ov_03","ov_04","ov_05","ov_06","ov_07","ov_08","ov_09","ov_10","ov_11","ov_12","ov_13","ov_14","ov_15","ov_16","ov_17","ov_18","ov_19","ov_20"
"1","Ayush Badoni","OS","Spinner","Lucknow Super Giants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"2","A Kamboj",NA,NA,"Chennai Super Kings",0,7,1,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"3","Anrich Nortje","RFM","Pacer","Kolkata Knight Riders",0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
"4","Adam Zampa","LS","Spinner","Sunrisers Hyderabad",0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0
"5","Andre Russell","RFM","Pacer","Kolkata Knight Riders",0,0,0,0,0,1,1,0,0,0,2,2,2,0,0,2,1,4,1,3
"6","Aiden Markram","OS","Spinner","Lucknow Super Giants",0,0,0,1,1,0,0,2,2,2,0,2,0,1,0,0,0,0,0,0
"7","Axar Patel","SLA","Spinner","Delhi Capitals",3,2,3,3,3,1,4,3,3,1,1,1,1,1,3,1,1,0,1,0
"8","Anukul Roy","SLA","Spinner","Kolkata Knight Riders",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"9","Abdul Samad","LS","Spinner","Lucknow Super Giants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10","Abhishek Sharma","SLA","Spinner","Sunrisers Hyderabad",1,1,0,0,2,0,1,0,1,0,2,0,1,0,2,0,0,0,0,0
"11","Akash Deep","RFM","Pacer","Lucknow Super Giants",2,4,2,2,2,0,1,0,0,0,0,2,0,0,1,2,1,0,0,0
"12","Akash Madhwal","RFM","Pacer","Rajasthan Royals",0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,2,0,1,1,3
"13","Akash Singh","LFM","Pacer","Lucknow Super Giants",3,0,2,0,1,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"14","Arshad Khan","LFM","Pacer","Gujarat Titans",0,8,0,6,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"15","Arshdeep Singh","LFM","Pacer","Punjab Kings",15,0,12,3,2,0,1,0,0,0,1,0,1,1,3,5,4,1,5,5
"16","Ashwani Kumar",NA,NA,"Mumbai Indians",0,0,0,3,0,2,0,0,0,1,3,2,1,1,1,3,1,1,1,1
"17","Avesh Khan","RFM","Pacer","Lucknow Super Giants",0,3,0,2,3,6,0,2,0,2,2,1,2,2,4,4,1,5,3,6
"18","Azmatullah Omarzai","RFM","Pacer","Punjab Kings",0,2,0,2,3,2,0,1,0,3,2,1,2,0,2,1,0,3,2,1
"19","Bhuvneshwar Kumar","RFM","Pacer","Royal Challengers Bengaluru",11,2,10,2,6,0,1,0,0,0,0,1,0,0,1,3,5,5,3,2
"20","Corbin Bosch","RFM","Pacer","Mumbai Indians",0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0
"21","Chetan Sakariya","LFM","Pacer","Kolkata Knight Riders",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"22","Varun Chakravarthy","LS","Spinner","Kolkata Knight Riders",0,0,0,1,4,6,2,6,5,7,2,2,2,5,1,3,3,1,0,0
"23","Deepak Hooda","OS","Spinner","Chennai Super Kings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"24","Deepak Chahar","RFM","Pacer","Mumbai Indians",6,8,5,5,4,5,3,0,0,0,0,0,1,0,1,0,0,1,2,0
"25","DS Rathi",NA,NA,"Lucknow Super Giants",0,1,3,4,3,4,5,3,6,0,4,3,3,1,2,1,5,2,2,0
"26","E Malinga",NA,NA,"Sunrisers Hyderabad",0,0,0,0,0,4,3,0,2,1,0,2,2,1,2,3,1,4,1,1
"27","Fazalhaq Farooqi","LFM","Pacer","Rajasthan Royals",2,3,1,3,0,1,1,0,0,0,0,1,0,2,0,0,1,2,0,0
"28","Gerald Coetzee","RFM","Pacer","Gujarat Titans",0,0,0,0,0,0,1,1,0,1,1,2,0,1,0,2,1,1,0,1
"29","Glenn Maxwell","OS","Spinner","Punjab Kings",0,0,0,0,3,2,3,0,2,0,2,0,0,0,1,0,0,0,0,0
"30","Hardik Pandya","RFM","Pacer","Mumbai Indians",0,0,0,0,1,0,2,7,6,3,5,1,1,2,1,1,1,2,0,2
"31","Harshal Patel","RFM","Pacer","Sunrisers Hyderabad",0,0,0,2,5,3,1,4,1,2,0,2,2,4,3,2,5,2,3,3
"32","Harpreet Brar","SLA","Spinner","Punjab Kings",0,0,0,0,4,1,3,2,3,1,0,1,1,3,1,0,1,1,0,0
"33","Harsh Dubey",NA,NA,"Sunrisers Hyderabad",0,1,0,1,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0
"34","Harshit Rana","RFM","Pacer","Kolkata Knight Riders",0,2,1,6,5,5,0,2,0,1,3,1,3,1,3,1,4,1,5,0
"35","Ishant Sharma","RFM","Pacer","Gujarat Titans",0,4,0,4,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,3
"36","Ishan Kishan",NA,"Pacer","Sunrisers Hyderabad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"37","Jamie Overton","RFM","Pacer","Chennai Super Kings",0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"38","Jofra Archer","RFM","Pacer","Rajasthan Royals",11,0,9,1,4,0,0,1,0,0,3,0,2,0,0,1,3,4,4,3
"39","Jaydev Unadkat","LFM","Pacer","Sunrisers Hyderabad",0,5,0,4,1,2,1,1,1,0,0,1,0,3,1,0,1,1,0,2
"40","Jasprit Bumrah","RFM","Pacer","Mumbai Indians",0,1,2,3,5,4,2,0,1,2,2,1,4,1,3,3,4,4,5,1
"41","Josh Hazlewood","RFM","Pacer","Royal Challengers Bengaluru",1,2,2,9,1,7,0,3,0,1,0,0,1,2,2,2,2,4,3,3
"42","Kumar Kartikeya","SLA","Spinner","Rajasthan Royals",0,0,0,0,0,0,3,0,2,1,1,0,1,0,0,0,0,0,0,0
"43","Kulwant Khejroliya","LFM","Pacer","Gujarat Titans",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"44","Kagiso Rabada","RFM","Pacer","Gujarat Titans",0,2,0,2,0,3,1,0,0,0,2,0,0,0,0,0,1,0,2,1
